,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time
80,1096,929146968667930625,kiyouni194,2017-11-11 00:41:14,67,60,504,新潟 長岡市,0.0,0.2333333333333333,0.5,0.6666666666666666,1.2,230,1.0,2019-04-23 01:25:12
81,1126,977936112881754128,Rikotouka,2018-03-25 15:51:53,0,8,173,0,0.36666666666666653,0.4666666666666667,0.7666666666666667,3221.833333333333,0.26666666666666666,90,1.0,2019-04-23 01:25:12
82,1156,936078261179752449,Kurodia1006,2017-11-30 03:43:43,160,27,598,0,1.1666666666666667,0.5333333333333333,1.0333333333333334,671.2333333333332,0.0,2605,1.0,2019-04-23 01:25:12
83,1186,2566763209,MamaOtome87,2014-06-14 08:42:12,123,293,734,"Fujisawa City, Kanagawa",0.43333333333333335,0.43333333333333335,1.2333333333333334,61.86666666666667,0.7666666666666667,2788,1.0,2019-04-23 01:25:12
84,1216,896204815075868672,aOzzz_1027,2017-08-12 03:00:53,77,4,167,Shaanxi,0.1,0.2,1.1666666666666667,313.06666666666666,0.16666666666666666,345,1.0,2019-04-23 01:25:12
85,1246,893179233349926913,Araragi1Koyomi,2017-08-03 18:38:18,0,3,191,0,0.0,0.0,0.03333333333333333,0.0,0.36666666666666653,1,1.0,2019-04-23 01:25:12
86,1247,996164363622010880,mo_70112,2018-05-14 23:04:26,0,15,64,0,3.733333333333333,7.2,4.0,533.2666666666668,0.0,3374,1.0,2019-04-23 01:25:12
87,1277,20988107,wildliferescuer,2009-02-16 14:18:12,157,4881,5040,"Beckford, Gloucestershire, UK",0.13333333333333333,0.8,0.3333333333333333,4.7,15.8,3972,1.0,2019-04-23 01:25:12
88,1307,293665956,patrick_weir,2011-05-05 19:12:52,8,512,1703,0,0.16666666666666666,0.7,0.8,258.06666666666666,0.3,4661,1.0,2019-04-23 01:25:12
89,1337,916281046433275904,anawantsmethin,2017-10-06 12:36:39,76,33,39,"Colorado, USA",0.0,0.06666666666666668,0.9333333333333332,11832.833333333336,0.1,1154,1.0,2019-04-23 01:25:12
90,1367,1028765173488726016,grubererich916,2018-08-12 22:08:25,142,641,4997,0,0.5666666666666667,0.8333333333333334,2.566666666666667,69.23333333333333,0.0,15551,1.0,2019-04-23 01:25:12
91,1427,1091621732262256640,LynnWar35119729,2019-02-02 08:57:57,0,35,14,0,0.0,1.0,0.0,0.03333333333333333,0.0,621,1.0,2019-04-23 01:25:12
92,1487,160694051,Mia_Maffia,2010-06-28 22:10:25,89,93833,730,United Kingdom,0.8333333333333334,1.7666666666666666,0.1,2.7,14.566666666666665,15402,1.0,2019-04-23 01:25:12
93,1517,1091930436325044224,Virgini55182293,2019-02-03 05:24:37,0,37,12,0,0.0,1.0,0.0,0.03333333333333333,0.0,582,1.0,2019-04-23 01:25:12
94,1547,45314456,Mish_L_Pattison,2009-06-07 09:46:04,40,1745,2809,Birmingham ,0.4666666666666667,0.4666666666666667,0.9,1708.833333333333,0.06666666666666668,44761,1.0,2019-04-23 01:25:12
95,1577,1108096967769493507,liberal06670263,2019-03-19 20:04:39,23,22,118,"New York, NY",0.13333333333333333,0.3,1.5333333333333334,4341.066666666667,0.06666666666666668,960,1.0,2019-04-23 01:25:12
96,1607,946587035573374976,hormsporg,2017-12-29 03:41:50,71,139,451,"Wisconsin, USA",1.1,1.0,1.0333333333333334,70.96666666666667,0.0,4049,1.0,2019-04-23 01:25:12
97,1637,803747526947934208,LarsonArsonist,2016-11-29 23:48:38,0,6,346,Little China,0.5333333333333333,0.9666666666666668,0.4666666666666667,663.2666666666668,0.03333333333333333,52,1.0,2019-04-23 01:25:12
98,1667,373499539,BoobsHD,2011-09-14 17:51:35,51,134288,23,0,1.0,1.0,0.0,0.3333333333333333,3.6,51194,1.0,2019-04-23 01:25:12
99,1697,1109111655051358208,LifeVideos3,2019-03-22 15:16:39,4,63,51,0,13.0,1.0,0.0,0.0,0.43333333333333335,192,1.0,2019-04-23 01:25:12
100,1727,1110170635076927488,lovelyjenny126,2019-03-25 13:24:40,61,645,404,California,2.533333333333333,0.43333333333333335,0.13333333333333333,24.66666666666667,23.86666666666667,18,1.0,2019-04-23 01:25:12
101,1745,1107839987679182849,YungSage13,2019-03-19 03:03:30,0,4,29,0,4.233333333333333,0.06666666666666668,0.9333333333333332,61.86666666666667,0.16666666666666666,53,1.0,2019-04-23 01:25:12
102,1775,4149386374,bigboobsfansite,2015-11-09 13:16:51,155,117165,673,boobs world,4.7,1.0333333333333334,0.0,0.13333333333333333,0.6666666666666666,306609,1.0,2019-04-23 01:25:12
103,1805,441273690,W84IT1,2011-12-19 22:45:15,17,171,630,United States,1.0,0.9,1.4333333333333331,56.7,0.0,11312,1.0,2019-04-23 01:25:12
104,1865,390781513,R_sidney_V,2011-10-14 15:01:26,44,955675,2215,0,1.2,1.0,1.6666666666666667,51.56666666666667,0.0,1150378,1.0,2019-04-23 01:25:12
105,1895,826089159500627968,allenmarkjk,2017-01-30 15:26:18,15,21,491,"Columbus, OH",0.13333333333333333,0.9666666666666668,1.2666666666666666,614.0666666666667,0.03333333333333333,1231,1.0,2019-04-23 01:25:12
106,1925,437250059,Orehova_L,2011-12-15 05:32:37,0,65,45,0,0.0,2.0,0.0,0.0,0.03333333333333333,5396,1.0,2019-04-23 01:25:12
