,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
64,64,1615,1712709144,SkochSameer,2013-08-30 13:19:49,160,126294,1723.0,India,0.8333333333333334,2.5,10.166666666666666,2545.233333333333,16.666666666666668,7697,0,2019-04-23 14:45:45,1724.0,2062.059675925926,3.7326756785270137,0.06,1.1967844898003053
65,65,1645,722923402260951043,mobobistudios,2016-04-20 23:02:25,0,6679,3.0,0,0.16666666666666666,0.5333333333333333,1.0,1.4666666666666666,5.266666666666667,55,0,2019-04-23 14:45:45,4.0,1097.6550925925926,0.05010681440022607,0.01,365.8850308641975
66,66,1665,722923402260951043,mobobistudios,2016-04-20 23:02:25,0,6678,3.0,0,0.16666666666666666,0.5333333333333333,1.0,1.4666666666666666,5.266666666666667,55,0,2019-04-23 14:45:45,4.0,1097.6550925925926,0.05010681440022607,0.01,365.8850308641975
67,67,1675,3108258452,TAHLKANEWS,2015-03-26 12:06:19,129,2188,514.0,लखनऊ,0.0,1.0,0.0,0.0,0.0,96643,0,2019-04-23 14:45:45,515.0,1489.1107175925927,64.89980822664434,44.17,2.8971025634097134
68,68,1705,2318958582,rakeshbjpup,2014-01-30 14:05:16,82,3505,598.0,"Lucknow, India",0.2333333333333333,0.5,1.6,150.03333333333333,80.33333333333333,5650,0,2019-04-23 14:45:45,599.0,1909.028113425926,2.9596211602460674,1.61,3.192354704725629
69,69,1735,970591741131804672,CyberDost,2018-03-05 09:27:58,156,54217,76.0,India,9.6,6.4,4.8,704.2666666666668,2009.0666666666666,432,0,2019-04-23 14:45:45,77.0,414.22068287037035,1.0429223306920037,0.01,5.450272143031189
70,70,1765,793395820846428160,spgrpjhansi,2016-11-01 10:14:39,80,2372,90.0,"Jhansi, India",0.0,0.7666666666666667,5.966666666666668,0.1,1.6,1653,0,2019-04-23 14:45:45,91.0,903.1882638888889,1.8301832143861356,0.7,10.035425154320988
71,71,1795,1008035078004330496,kumbhMelaPolUP,2018-06-16 17:14:25,102,10433,21.0,"Sangam, Prayagraj",4.0,1.2,13.466666666666667,821.4666666666667,108.66666666666669,1385,0,2019-04-23 14:45:45,22.0,310.8967592592593,4.454855056385575,0.13,14.804607583774251
72,72,1825,305086188,NBTMumbai,2011-05-25 16:27:00,90,7558,63.0,Mumbai,0.13333333333333333,0.7666666666666667,0.8333333333333334,1.2,0.0,37578,0,2019-04-23 14:45:45,64.0,2889.9296875,13.003084525737272,4.97,45.871899801587304
73,73,1855,444481070,AtulGargBJP,2011-12-23 09:14:40,133,17890,79.0,Ghaziabad,0.5666666666666667,0.6666666666666666,0.7,124.7,19.666666666666668,1726,0,2019-04-23 14:45:45,80.0,2678.2299189814817,0.6444554994204492,0.1,33.90164454406939
74,74,1885,1027528066866663424,sdrf_up,2018-08-09 12:12:36,135,582,122.0,"Lucknow, India",0.6,0.5,0.6,9.166666666666666,27.16666666666667,20,0,2019-04-23 14:45:45,123.0,257.1063541666667,0.07778882036900261,0.03,2.107429132513661
75,75,1905,4738670125,UD197,2016-01-10 14:16:20,107,417,230.0,0,0.03333333333333333,0.3666666666666665,4.866666666666666,338.76666666666665,0.9666666666666668,1695,0,2019-04-23 14:45:45,231.0,1199.0204282407408,1.4136539795964809,4.06,5.213132296698873
76,76,1935,774874083901046784,SantoshMahiLko,2016-09-11 07:35:52,0,809,178.0,0,0.8,0.4666666666666667,1.1,364.1,0.9666666666666668,694,0,2019-04-23 14:45:45,179.0,954.2985300925926,0.7272357423967355,0.86,5.361227697149396
